local-authority,website,ons-code
local-authority-eng:ADU,https://www.adur-worthing.gov.uk,E07000223
local-authority-eng:ALL,https://www.allerdale.gov.uk,E07000026
local-authority-eng:AMB,https://www.ambervalley.gov.uk,E07000032
local-authority-eng:ARU,https://www.arun.gov.uk,E07000224
local-authority-eng:ASH,https://www.ashfield-dc.gov.uk,E07000170
local-authority-eng:ASF,https://www.ashford.gov.uk,E07000105
local-authority-eng:AYL,https://www.aylesburyvaledc.gov.uk,E08000016
local-authority-eng:BAB,https://www.babergh.gov.uk,E07000200
local-authority-eng:BNS,https://www.barnsley.gov.uk,E08000016
local-authority-eng:BAR,https://www.barrowbc.gov.uk,E07000027
local-authority-eng:BAI,https://www.basildon.gov.uk,E07000066
local-authority-eng:BAN,https://www.basingstoke.gov.uk,E07000084
local-authority-eng:BAE,https://www.bassetlaw.gov.uk,E07000171
local-authority-eng:BAS,https://www.bathnes.gov.uk,E06000022
local-authority-eng:BDF,https://www.bedford.gov.uk,E06000055
local-authority-eng:BIR,https://www.birmingham.gov.uk,E08000025
local-authority-eng:BLA,https://www.blaby.gov.uk,E07000129
local-authority-eng:BBD,https://www.blackburn.gov.uk,E06000008
local-authority-eng:BPL,https://www.blackpool.gov.uk,E06000009
local-authority-eng:BOS,https://www.bolsover.gov.uk,E07000033
local-authority-eng:BOL,https://www.bolton.gov.uk,E08000001
local-authority-eng:BRX,https://www.broxbourne.gov.uk,E07000095
local-authority-eng:POL,https://www.boroughofpoole.com,E06000029
local-authority-eng:BOT,https://www.boston.gov.uk,E07000136
local-authority-eng:BMH,https://www.bournemouth.gov.uk,E06000028
local-authority-eng:BRC,https://www.bracknell-forest.gov.uk,E06000036
local-authority-eng:BRD,https://www.bradford.gov.uk,E08000032
local-authority-eng:BRA,https://www.braintree.gov.uk,E07000067
local-authority-eng:BRE,https://www.breckland.gov.uk,E07000143
local-authority-eng:BRW,https://www.brentwood.gov.uk,E07000068
local-authority-eng:BNH,https://www.brighton-hove.gov.uk,E06000043
local-authority-eng:BST,https://www.bristol.gov.uk,E06000023
local-authority-eng:BRO,https://www.broadland.gov.uk,E07000144
local-authority-eng:BRM,https://www.bromsgrove.gov.uk,E07000234
local-authority-eng:BRT,https://www.broxtowe.gov.uk,E07000172
local-authority-eng:BKM,https://www.buckscc.gov.uk,E07000006
local-authority-eng:BUN,https://www.burnley.gov.uk,E07000117
local-authority-eng:BUR,https://www.bury.gov.uk,E08000002
local-authority-eng:CLD,https://www.calderdale.gov.uk,E08000033
local-authority-eng:CAB,https://www.cambridge.gov.uk,E07000008
local-authority-eng:CAM,https://www.cambridgeshire.gov.uk,E07000008
local-authority-eng:CAN,https://www.cannockchasedc.gov.uk,E07000192
local-authority-eng:CAT,https://www.canterbury.gov.uk,E07000106
local-authority-eng:CAR,https://www.carlisle.gov.uk,E07000028
local-authority-eng:CAS,https://www.castlepoint.gov.uk,E07000069
local-authority-eng:CBF,https://www.centralbedfordshire.gov.uk,E06000056
local-authority-eng:CHA,https://www.charnwood.gov.uk,E07000130
local-authority-eng:CHL,https://www.chelmsford.gov.uk,E07000070
local-authority-eng:CHT,https://www.cheltenham.gov.uk,E07000078
local-authority-eng:CHR,https://www.cherwell-dc.gov.uk,E07000177
local-authority-eng:CHE,https://www.cheshireeast.gov.uk,E06000049
local-authority-eng:CHW,https://www.cheshirewestandchester.gov.uk,E06000050
local-authority-eng:CHS,https://www.chesterfield.gov.uk,E07000034
local-authority-eng:CHI,https://www.chichester.gov.uk,E07000225
local-authority-eng:CHN,https://www.chiltern.gov.uk,E07000005
local-authority-eng:CHO,https://www.chorley.gov.uk,E07000118
local-authority-eng:CHC,https://www.dorsetforyou.com,E07000048
local-authority-eng:LIC,https://www.lincoln.gov.uk,E07000138
local-authority-eng:LND,https://www.cityoflondon.gov.uk,E09000001
local-authority-eng:YOR,https://www.york.gov.uk,E06000014
local-authority-eng:COL,https://www.colchester.gov.uk,E07000071
local-authority-eng:COP,https://www.copeland.gov.uk,E07000029
local-authority-eng:COR,https://www.corby.gov.uk,E07000150
local-authority-eng:CON,https://www.cornwall.gov.uk,E06000052
local-authority-eng:COT,https://www.cotswold.gov.uk,E07000079
local-authority-eng:COV,https://www.coventry.gov.uk,E08000026
local-authority-eng:CRA,https://www.cravendc.gov.uk,E07000163
local-authority-eng:CRW,https://www.crawley.gov.uk,E07000226
local-authority-eng:CMA,https://www.cumbria.gov.uk,
local-authority-eng:DAC,https://www.dacorum.gov.uk,E07000096
local-authority-eng:DAL,https://www.darlington.gov.uk,E06000005
local-authority-eng:DAR,https://www.dartford.gov.uk,E07000107
local-authority-eng:DAV,https://www.daventrydc.gov.uk,E07000151
local-authority-eng:DER,https://www.derby.gov.uk,E06000015
local-authority-eng:DBY,https://www.derbyshire.gov.uk,E06000015
local-authority-eng:DEB,https://www.derbyshiredales.gov.uk,E07000035
local-authority-eng:DEV,https://www.devon.gov.uk,
local-authority-eng:DNC,https://www.doncaster.gov.uk,E08000017
local-authority-eng:DOR,https://www.dorsetforyou.com,
local-authority-eng:DOV,https://www.dover.gov.uk,E07000108
local-authority-eng:DUD,https://www.dudley.gov.uk,E08000027
local-authority-eng:DUR,https://www.durham.gov.uk,E06000047
local-authority-eng:ECA,https://www.eastcambs.gov.uk,E07000009
local-authority-eng:EDE,https://www.eastdevon.gov.uk,E07000040
local-authority-eng:EDO,https://www.dorsetforyou.com,E07000049
local-authority-eng:EHA,https://www.easthants.gov.uk,E07000085
local-authority-eng:EHE,https://www.eastherts.gov.uk,E07000242
local-authority-eng:ELI,https://www.e-lindsey.gov.uk,E07000137
local-authority-eng:ENO,https://www.east-northamptonshire.gov.uk,E07000152
local-authority-eng:ERY,https://www.eastriding.gov.uk,E06000011
local-authority-eng:EST,https://www.eaststaffsbc.gov.uk,E07000193
local-authority-eng:ESX,https://www.eastsussex.gov.uk,
local-authority-eng:EAS,https://www.eastbourne.gov.uk,E07000061
local-authority-eng:EAT,https://www.eastleigh.gov.uk,E07000086
local-authority-eng:EDN,https://www.eden.gov.uk,E07000030
local-authority-eng:ELM,https://www.elmbridge.gov.uk,E07000207
local-authority-eng:EPP,https://www.eppingforestdc.gov.uk,E07000072
local-authority-eng:EPS,https://www.epsom-ewell.gov.uk,E07000208
local-authority-eng:ERE,https://www.erewash.gov.uk,E07000036
local-authority-eng:ESS,https://www.essex.gov.uk,
local-authority-eng:EXE,https://www.exeter.gov.uk,E07000041
local-authority-eng:FAR,https://www.fareham.gov.uk,E07000087
local-authority-eng:FEN,https://www.fenland.gov.uk,E07000010
local-authority-eng:FOR,https://www.forest-heath.gov.uk,E07000204
local-authority-eng:FOE,https://www.fdean.gov.uk,E07000080
local-authority-eng:FYL,https://www.fylde.gov.uk,E07000119
local-authority-eng:GAT,https://www.gateshead.gov.uk,E08000037
local-authority-eng:GED,https://www.gedling.gov.uk,E07000173
local-authority-eng:GLO,https://www.gloucester.gov.uk,E07000081
local-authority-eng:GLS,https://www.gloucestershire.gov.uk,E07000081
local-authority-eng:GOS,https://www.gosport.gov.uk,E07000088
local-authority-eng:GRA,https://www.gravesham.gov.uk,E07000109
local-authority-eng:GRY,https://www.great-yarmouth.gov.uk,E07000145
local-authority-eng:GRT,https://www.guildford.gov.uk,E07000209
local-authority-eng:HAL,https://www.halton.gov.uk,E06000006
local-authority-eng:HAE,https://www.hambleton.gov.uk,E07000164
