development-plan-type,name,entry-date,start-date,end-date
area-action-plan,Area Action Plan,2020-07-13,2020-07-13,
core-strategy,Core Strategy,2020-07-13,2020-07-13,
development-management,Development Management,2020-07-13,2020-07-13,
local-plan,Local Plan,2020-07-13,2020-07-13,
minerals-waste,Minerals & Waste,2020-07-13,2020-07-13,
all-other-types,all other types,2020-07-13,2020-07-13,
partial-review,Partial Review,2020-07-13,2020-07-13,
site-allocations,Site Allocations,2020-07-13,2020-07-13,
neighbourhood-plan,Neighbourhood Plan,2021-02-04,2021-02-04,
