development-plan,development-plan-status,notes,end-date,entry-date,start-date
194c957b-2fd6-499d-b6d6-4f8344b4db32,published,,2011-02-17,2020-07-13,
194c957b-2fd6-499d-b6d6-4f8344b4db32,sound,,2014-10-02,2020-07-13,
194c957b-2fd6-499d-b6d6-4f8344b4db32,adopted,,2014-12-15,2020-07-13,
99c678f1-b369-4846-a949-2b2b8538c4e3,submitted,,2011-01-17,2020-07-13,
99c678f1-b369-4846-a949-2b2b8538c4e3,published,,2010-05-10,2020-07-13,
99c678f1-b369-4846-a949-2b2b8538c4e3,sound,,2011-07-28,2020-07-13,
99c678f1-b369-4846-a949-2b2b8538c4e3,adopted,,2011-09-19,2020-07-13,
f4c4af01-5d24-4b7a-8c79-7d77f3ce2812,submitted,,2017-10-09,2020-07-13,
f4c4af01-5d24-4b7a-8c79-7d77f3ce2812,published,,2017-06-16,2020-07-13,
636d2ba4-c268-41a4-80eb-13fa2a9598fd,submitted,,2011-05-13,2020-07-13,
636d2ba4-c268-41a4-80eb-13fa2a9598fd,published,,2010-11-10,2020-07-13,
636d2ba4-c268-41a4-80eb-13fa2a9598fd,sound,,2011-10-25,2020-07-13,
636d2ba4-c268-41a4-80eb-13fa2a9598fd,adopted,,2012-02-22,2020-07-13,
2a72a06b-823f-4146-94a5-2c35446404b5,submitted,,2014-07-01,2020-07-13,
2a72a06b-823f-4146-94a5-2c35446404b5,published,,2014-01-06,2020-07-13,
2a72a06b-823f-4146-94a5-2c35446404b5,sound,,2016-03-11,2020-07-13,
2a72a06b-823f-4146-94a5-2c35446404b5,adopted,,2017-01-10,2020-07-13,
b6fe3079-37c0-48cb-affe-b5b077ab5d15,submitted,,2015-01-30,2020-07-13,
b6fe3079-37c0-48cb-affe-b5b077ab5d15,published,,2014-10-30,2020-07-13,
b6fe3079-37c0-48cb-affe-b5b077ab5d15,sound,,2018-07-04,2020-07-13,
b6fe3079-37c0-48cb-affe-b5b077ab5d15,adopted,,2018-07-18,2020-07-13,
20d50033-8d8a-4cff-88e3-40ba05e1e921,submitted,,2009-03-31,2020-07-13,
20d50033-8d8a-4cff-88e3-40ba05e1e921,published,,2009-01-05,2020-07-13,
20d50033-8d8a-4cff-88e3-40ba05e1e921,sound,,2009-10-13,2020-07-13,
20d50033-8d8a-4cff-88e3-40ba05e1e921,adopted,,2009-12-17,2020-07-13,
5b973444-94c8-4331-9cfb-af0fe6d4cf7f,submitted,,2017-11-30,2020-07-13,
5b973444-94c8-4331-9cfb-af0fe6d4cf7f,published,,2017-08-21,2020-07-13,
5b973444-94c8-4331-9cfb-af0fe6d4cf7f,sound,,2019-10-25,2020-07-13,
5b973444-94c8-4331-9cfb-af0fe6d4cf7f,adopted,,2019-11-28,2020-07-13,
034cf060-0268-4964-9fd0-6c10e3c3f405,submitted,,2014-11-26,2020-07-13,
034cf060-0268-4964-9fd0-6c10e3c3f405,published,,2014-09-01,2020-07-13,
034cf060-0268-4964-9fd0-6c10e3c3f405,sound,,2015-11-02,2020-07-13,
034cf060-0268-4964-9fd0-6c10e3c3f405,adopted,,2015-12-16,2020-07-13,
1f051964-74ab-49fa-809f-b24f8de9008b,published,,2020-01-20,2020-07-13,
8c82762b-9d1c-4ea8-b18f-e3411c4169a0,submitted,,2015-06-19,2020-07-13,
8c82762b-9d1c-4ea8-b18f-e3411c4169a0,published,,2015-03-04,2020-07-13,
8c82762b-9d1c-4ea8-b18f-e3411c4169a0,sound,,2016-07-25,2020-07-13,
8c82762b-9d1c-4ea8-b18f-e3411c4169a0,adopted,,2016-11-08,2020-07-13,
b21362a8-ed0d-4c6d-90da-ec9ded5cf4fd,submitted,,2012-06-22,2020-07-13,
b21362a8-ed0d-4c6d-90da-ec9ded5cf4fd,published,,2011-10-26,2020-07-13,
b21362a8-ed0d-4c6d-90da-ec9ded5cf4fd,sound,,2013-07-09,2020-07-13,
b21362a8-ed0d-4c6d-90da-ec9ded5cf4fd,adopted,,2013-09-25,2020-07-13,
61aa0eb6-1a59-4d58-8f38-667938d42198,submitted,,2012-06-08,2020-07-13,
61aa0eb6-1a59-4d58-8f38-667938d42198,published,,2012-01-19,2020-07-13,
61aa0eb6-1a59-4d58-8f38-667938d42198,sound,,2013-02-12,2020-07-13,
61aa0eb6-1a59-4d58-8f38-667938d42198,adopted,,2013-02-21,2020-07-13,
e2db8c69-df16-43be-9f7f-3c0006e50a11,submitted,,2018-08-31,2020-07-13,
e2db8c69-df16-43be-9f7f-3c0006e50a11,published,,2018-05-02,2020-07-13,
e2db8c69-df16-43be-9f7f-3c0006e50a11,sound,,2020-01-15,2020-07-13,
e2db8c69-df16-43be-9f7f-3c0006e50a11,adopted,,2020-03-04,2020-07-13,
d3e0e620-0896-4fb6-88a5-b852fd2130af,submitted,,2018-02-02,2020-07-13,
d3e0e620-0896-4fb6-88a5-b852fd2130af,published,,2017-12-08,2020-07-13,
d3e0e620-0896-4fb6-88a5-b852fd2130af,sound,,2019-03-20,2020-07-13,
d3e0e620-0896-4fb6-88a5-b852fd2130af,adopted,,2019-06-04,2020-07-13,
974ae5d1-c3bb-428c-8dc5-f830bc1663a7,submitted,,2013-05-31,2020-07-13,
974ae5d1-c3bb-428c-8dc5-f830bc1663a7,published,,2013-02-14,2020-07-13,
974ae5d1-c3bb-428c-8dc5-f830bc1663a7,sound,,2014-02-14,2020-07-13,
974ae5d1-c3bb-428c-8dc5-f830bc1663a7,adopted,,2014-06-11,2020-07-13,
09bbd8b4-75f5-48aa-954c-ac63018d376f,submitted,,2014-05-28,2020-07-13,
09bbd8b4-75f5-48aa-954c-ac63018d376f,published,,2013-11-08,2020-07-13,
09bbd8b4-75f5-48aa-954c-ac63018d376f,sound,,2015-05-18,2020-07-13,
09bbd8b4-75f5-48aa-954c-ac63018d376f,adopted,,2015-07-14,2020-07-13,
f18ffccb-ad43-4fb1-aabf-32be13d6bae8,submitted,,2009-02-19,2020-07-13,
f18ffccb-ad43-4fb1-aabf-32be13d6bae8,published,,2008-10-13,2020-07-13,
f18ffccb-ad43-4fb1-aabf-32be13d6bae8,sound,,2009-08-21,2020-07-13,
f18ffccb-ad43-4fb1-aabf-32be13d6bae8,adopted,,2009-11-19,2020-07-13,
1d4759cb-5018-43e5-9c6a-ca0372b083c6,submitted,,2018-04-30,2020-07-13,
1d4759cb-5018-43e5-9c6a-ca0372b083c6,published,,2018-01-11,2020-07-13,
2be3bc2f-67c2-4e1e-ab07-aa5df549bf8d,submitted,,2015-12-18,2020-07-13,
2be3bc2f-67c2-4e1e-ab07-aa5df549bf8d,published,,2015-08-26,2020-07-13,
2be3bc2f-67c2-4e1e-ab07-aa5df549bf8d,sound,,2016-12-05,2020-07-13,
2be3bc2f-67c2-4e1e-ab07-aa5df549bf8d,adopted,,2017-01-25,2020-07-13,
35227a41-4853-40a6-aa52-4b357ea222e5,submitted,,2013-12-20,2020-07-13,
35227a41-4853-40a6-aa52-4b357ea222e5,published,,2013-06-10,2020-07-13,
35227a41-4853-40a6-aa52-4b357ea222e5,sound,,2015-09-21,2020-07-13,
35227a41-4853-40a6-aa52-4b357ea222e5,adopted,,2015-11-09,2020-07-13,
03776d95-0e60-4c47-8d94-37cb160d2197,submitted,,2010-05-07,2020-07-13,
03776d95-0e60-4c47-8d94-37cb160d2197,published,,2010-01-18,2020-07-13,
03776d95-0e60-4c47-8d94-37cb160d2197,sound,,2010-12-17,2020-07-13,
03776d95-0e60-4c47-8d94-37cb160d2197,adopted,,2011-03-02,2020-07-13,
34e96a04-b95b-4812-8abd-72b1b2807189,submitted,,2010-03-15,2020-07-13,
34e96a04-b95b-4812-8abd-72b1b2807189,published,,2009-11-27,2020-07-13,
34e96a04-b95b-4812-8abd-72b1b2807189,sound,,2011-04-05,2020-07-13,
34e96a04-b95b-4812-8abd-72b1b2807189,adopted,,2011-06-21,2020-07-13,
fc42cabb-a43b-4985-85a7-6bf3b4b90f27,submitted,,2018-04-13,2020-07-13,
fc42cabb-a43b-4985-85a7-6bf3b4b90f27,published,,2017-11-22,2020-07-13,
8cecfc29-1e2c-442c-9525-6138c62b00d8,submitted,,2014-11-20,2020-07-13,
8cecfc29-1e2c-442c-9525-6138c62b00d8,published,,2014-06-30,2020-07-13,
8cecfc29-1e2c-442c-9525-6138c62b00d8,sound,,2017-10-26,2020-07-13,
8cecfc29-1e2c-442c-9525-6138c62b00d8,adopted,,2017-12-11,2020-07-13,
450e04d8-3727-494c-ae14-02bebd605939,submitted,,2006-11-10,2020-07-13,
450e04d8-3727-494c-ae14-02bebd605939,published,,2006-11-10,2020-07-13,
450e04d8-3727-494c-ae14-02bebd605939,sound,,2007-11-29,2020-07-13,
450e04d8-3727-494c-ae14-02bebd605939,adopted,,2008-02-07,2020-07-13,
2092c149-68e6-4107-a1ff-fb929fb4032e,submitted,,2017-07-07,2020-07-13,
2092c149-68e6-4107-a1ff-fb929fb4032e,published,,2016-06-27,2020-07-13,
2092c149-68e6-4107-a1ff-fb929fb4032e,sound,,2018-06-05,2020-07-13,
2092c149-68e6-4107-a1ff-fb929fb4032e,adopted,,2018-08-03,2020-07-13,
a9818144-8028-40ac-bfd5-46c57db30357,submitted,,2012-09-28,2020-07-13,
a9818144-8028-40ac-bfd5-46c57db30357,published,,2012-02-06,2020-07-13,
a9818144-8028-40ac-bfd5-46c57db30357,sound,,2013-06-19,2020-07-13,
a9818144-8028-40ac-bfd5-46c57db30357,adopted,,2013-07-24,2020-07-13,
e03a081f-3bd1-4c85-ba87-295a4914f8a0,submitted,,2019-06-28,2020-07-13,
e03a081f-3bd1-4c85-ba87-295a4914f8a0,published,,2019-01-14,2020-07-13,
e03a081f-3bd1-4c85-ba87-295a4914f8a0,sound,,2020-05-27,2020-07-13,
45d85ac7-9c13-4f28-aca3-aa0db2b6d7ab,submitted,,2011-01-31,2020-07-13,
45d85ac7-9c13-4f28-aca3-aa0db2b6d7ab,published,,2010-11-08,2020-07-13,
45d85ac7-9c13-4f28-aca3-aa0db2b6d7ab,sound,,2011-11-14,2020-07-13,
45d85ac7-9c13-4f28-aca3-aa0db2b6d7ab,adopted,,2011-12-22,2020-07-13,
11feb6a5-9c57-41b9-8a03-c30a3509231a,submitted,,2014-03-28,2020-07-13,
11feb6a5-9c57-41b9-8a03-c30a3509231a,published,,2013-07-19,2020-07-13,
11feb6a5-9c57-41b9-8a03-c30a3509231a,sound,,2018-08-29,2020-07-13,
11feb6a5-9c57-41b9-8a03-c30a3509231a,adopted,,2018-10-18,2020-07-13,
b49461a3-759c-4d01-92c1-aff99699e46c,submitted,,2012-11-07,2020-07-13,
b49461a3-759c-4d01-92c1-aff99699e46c,published,,2011-10-10,2020-07-13,
b49461a3-759c-4d01-92c1-aff99699e46c,sound,,2014-01-14,2020-07-13,
b49461a3-759c-4d01-92c1-aff99699e46c,adopted,,2014-02-25,2020-07-13,
b818aff3-bd8a-4243-8e7a-e4ac402182de,submitted,,2015-07-31,2020-07-13,
b818aff3-bd8a-4243-8e7a-e4ac402182de,published,,2015-01-26,2020-07-13,
b818aff3-bd8a-4243-8e7a-e4ac402182de,sound,,2016-06-22,2020-07-13,
b818aff3-bd8a-4243-8e7a-e4ac402182de,adopted,,2016-07-14,2020-07-13,
65ea6e15-82eb-4537-9345-b964f0e883e1,submitted,,2014-01-31,2020-07-13,
65ea6e15-82eb-4537-9345-b964f0e883e1,published,,2013-08-29,2020-07-13,
65ea6e15-82eb-4537-9345-b964f0e883e1,sound,,2015-06-09,2020-07-13,
65ea6e15-82eb-4537-9345-b964f0e883e1,adopted,,2015-07-20,2020-07-13,
6fcfc710-d741-422d-8a28-03dcd4263845,submitted,,2018-03-05,2020-07-13,
6fcfc710-d741-422d-8a28-03dcd4263845,published,,2017-07-17,2020-07-13,
9ff460cb-2bb8-48d2-80d4-359f6821b89b,submitted,,2016-12-22,2020-07-13,
9ff460cb-2bb8-48d2-80d4-359f6821b89b,published,,2016-06-24,2020-07-13,
9ff460cb-2bb8-48d2-80d4-359f6821b89b,sound,,2018-12-14,2020-07-13,
9ff460cb-2bb8-48d2-80d4-359f6821b89b,adopted,,2019-01-03,2020-07-13,
63334b68-029e-4d9b-a461-0b65b7c378a1,submitted,,2017-07-20,2020-07-13,
63334b68-029e-4d9b-a461-0b65b7c378a1,published,,2017-04-12,2020-07-13,
63334b68-029e-4d9b-a461-0b65b7c378a1,sound,,2018-07-09,2020-07-13,
63334b68-029e-4d9b-a461-0b65b7c378a1,adopted,,2018-07-31,2020-07-13,
1c40a6a9-a132-47a2-a580-0f80d473e61d,submitted,,2016-04-01,2020-07-13,
1c40a6a9-a132-47a2-a580-0f80d473e61d,published,,2016-01-18,2020-07-13,
1c40a6a9-a132-47a2-a580-0f80d473e61d,sound,,2017-10-13,2020-07-13,
1c40a6a9-a132-47a2-a580-0f80d473e61d,adopted,,2017-12-06,2020-07-13,
1ac65a2e-3457-4033-a5db-f06dc73a257e,submitted,,2013-06-07,2020-07-13,
1ac65a2e-3457-4033-a5db-f06dc73a257e,published,,2012-06-11,2020-07-13,
1ac65a2e-3457-4033-a5db-f06dc73a257e,sound,,2014-07-24,2020-07-13,
1ac65a2e-3457-4033-a5db-f06dc73a257e,adopted,,2014-09-17,2020-07-13,
140025a9-c5a2-49a2-8dea-baeb2b86a268,submitted,,2019-03-28,2020-07-13,
140025a9-c5a2-49a2-8dea-baeb2b86a268,published,,2018-11-01,2020-07-13,
fabfb03b-4e3d-4fd8-a874-88d1457874bd,submitted,,2018-03-27,2020-07-13,
fabfb03b-4e3d-4fd8-a874-88d1457874bd,published,,2018-01-02,2020-07-13,
fabfb03b-4e3d-4fd8-a874-88d1457874bd,sound,,2019-10-09,2020-07-13,
fabfb03b-4e3d-4fd8-a874-88d1457874bd,adopted,,2019-11-12,2020-07-13,
6ec9e814-2154-404d-bbc0-1dd04e3b95df,submitted,,2018-02-28,2020-07-13,
6ec9e814-2154-404d-bbc0-1dd04e3b95df,published,,2017-11-02,2020-07-13,
beccd40e-da67-45a7-bdfa-c11004e60d49,submitted,,2010-10-29,2020-07-13,
beccd40e-da67-45a7-bdfa-c11004e60d49,published,,2010-08-12,2020-07-13,
beccd40e-da67-45a7-bdfa-c11004e60d49,sound,,2011-04-13,2020-07-13,
beccd40e-da67-45a7-bdfa-c11004e60d49,adopted,,2011-05-06,2020-07-13,
6e6621ed-7095-4f3a-901c-8477bad6e802,submitted,,2010-04-13,2020-07-13,
6e6621ed-7095-4f3a-901c-8477bad6e802,published,,2009-11-09,2020-07-13,
6e6621ed-7095-4f3a-901c-8477bad6e802,sound,,2010-10-29,2020-07-13,
6e6621ed-7095-4f3a-901c-8477bad6e802,adopted,,2011-01-27,2020-07-13,
7dd9e611-a2f6-4904-9b54-ddf987d87945,submitted,,2018-03-20,2020-07-13,
7dd9e611-a2f6-4904-9b54-ddf987d87945,published,,2017-11-09,2020-07-13,
7dd9e611-a2f6-4904-9b54-ddf987d87945,sound,,2019-04-15,2020-07-13,
7dd9e611-a2f6-4904-9b54-ddf987d87945,adopted,,2019-05-17,2020-07-13,
208f8df8-5784-4ea4-8521-a2d58603b234,submitted,,2007-06-12,2020-07-13,
208f8df8-5784-4ea4-8521-a2d58603b234,published,,2007-06-12,2020-07-13,
208f8df8-5784-4ea4-8521-a2d58603b234,sound,,2008-02-29,2020-07-13,
208f8df8-5784-4ea4-8521-a2d58603b234,adopted,,2008-04-04,2020-07-13,
a37f5aa7-26df-4435-9f54-b4b15ff03b9d,published,,2019-09-16,2020-07-13,
9a6adacc-51d0-4d89-bc0c-cf717e549372,submitted,,2011-09-22,2020-07-13,
9a6adacc-51d0-4d89-bc0c-cf717e549372,published,,2010-11-29,2020-07-13,
9a6adacc-51d0-4d89-bc0c-cf717e549372,sound,,2012-10-12,2020-07-13,
9a6adacc-51d0-4d89-bc0c-cf717e549372,adopted,,2013-04-17,2020-07-13,
6d1bee1d-3c05-4aaf-8d7b-2dd014b03eab,submitted,,2020-03-05,2020-07-13,
6d1bee1d-3c05-4aaf-8d7b-2dd014b03eab,published,,2019-07-25,2020-07-13,
e9cdd4c9-4ab7-4764-90d0-193af9bb2c04,submitted,,2015-12-23,2020-07-13,
e9cdd4c9-4ab7-4764-90d0-193af9bb2c04,published,,2015-10-06,2020-07-13,
e9cdd4c9-4ab7-4764-90d0-193af9bb2c04,sound,,2018-08-30,2020-07-13,
e9cdd4c9-4ab7-4764-90d0-193af9bb2c04,adopted,,2018-10-11,2020-07-13,
193ef3e3-af8c-4dbc-94dd-a7dceb2d34a7,submitted,,2013-08-02,2020-07-13,
193ef3e3-af8c-4dbc-94dd-a7dceb2d34a7,published,,2012-11-16,2020-07-13,
193ef3e3-af8c-4dbc-94dd-a7dceb2d34a7,sound,,2016-01-15,2020-07-13,
193ef3e3-af8c-4dbc-94dd-a7dceb2d34a7,adopted,,2016-01-28,2020-07-13,
ba0cf7b4-31fb-4ac0-a2e0-eac7c34db0da,submitted,,2017-02-28,2020-07-13,
ba0cf7b4-31fb-4ac0-a2e0-eac7c34db0da,published,,2016-09-15,2020-07-13,
ba0cf7b4-31fb-4ac0-a2e0-eac7c34db0da,sound,,2017-12-19,2020-07-13,
ba0cf7b4-31fb-4ac0-a2e0-eac7c34db0da,adopted,,2018-02-28,2020-07-13,
17213289-e289-47bb-8638-bad7cb4d88bc,submitted,,2011-05-19,2020-07-13,
17213289-e289-47bb-8638-bad7cb4d88bc,published,,2010-08-16,2020-07-13,
17213289-e289-47bb-8638-bad7cb4d88bc,sound,,2011-12-14,2020-07-13,
17213289-e289-47bb-8638-bad7cb4d88bc,adopted,,2012-01-19,2020-07-13,
c8ab0e67-4891-4e0d-8b5e-cea7674c5351,submitted,,2016-12-20,2020-07-13,
c8ab0e67-4891-4e0d-8b5e-cea7674c5351,published,,2016-08-11,2020-07-13,
c8ab0e67-4891-4e0d-8b5e-cea7674c5351,sound,,2017-11-13,2020-07-13,
c8ab0e67-4891-4e0d-8b5e-cea7674c5351,adopted,,2017-12-07,2020-07-13,
c1fc7b53-ad45-44a2-ba9c-58874a6f602d,submitted,,2012-01-31,2020-07-13,
c1fc7b53-ad45-44a2-ba9c-58874a6f602d,published,,2011-09-16,2020-07-13,
c1fc7b53-ad45-44a2-ba9c-58874a6f602d,sound,,2012-11-21,2020-07-13,
c1fc7b53-ad45-44a2-ba9c-58874a6f602d,adopted,,2013-02-20,2020-07-13,
3a5b4662-b373-4237-ad84-8e1a7649cac9,submitted,,2009-01-30,2020-07-13,
3a5b4662-b373-4237-ad84-8e1a7649cac9,published,,2008-10-31,2020-07-13,
3a5b4662-b373-4237-ad84-8e1a7649cac9,sound,,2009-11-27,2020-07-13,
3a5b4662-b373-4237-ad84-8e1a7649cac9,adopted,,2009-12-15,2020-07-13,
ed84f6ef-44cd-406a-89b0-40ceb70149f8,submitted,,2012-01-31,2020-07-13,
ed84f6ef-44cd-406a-89b0-40ceb70149f8,published,,2011-07-27,2020-07-13,
ed84f6ef-44cd-406a-89b0-40ceb70149f8,sound,,2013-06-10,2020-07-13,
