development-plan,development-plan-status,notes,end-date,entry-date,start-date
7ab3c965-3d06-49c9-a4b5-4985f0c4b22f,submitted,,2014-10-09,2020-07-13,
7ab3c965-3d06-49c9-a4b5-4985f0c4b22f,published,,2014-04-25,2020-07-13,
7ab3c965-3d06-49c9-a4b5-4985f0c4b22f,sound,,2016-04-06,2020-07-13,
7ab3c965-3d06-49c9-a4b5-4985f0c4b22f,adopted,,2016-05-26,2020-07-13,
4221883b-e5f5-469f-95af-93eed23da83b,submitted,,2006-07-03,2020-07-13,
4221883b-e5f5-469f-95af-93eed23da83b,published,,2006-07-03,2020-07-13,
4221883b-e5f5-469f-95af-93eed23da83b,sound,,2008-02-12,2020-07-13,
4221883b-e5f5-469f-95af-93eed23da83b,adopted,,2008-04-16,2020-07-13,
3c3c274f-d3e5-4517-a075-8868aaa8af42,submitted,,2018-12-14,2020-07-13,
3c3c274f-d3e5-4517-a075-8868aaa8af42,published,,2018-09-18,2020-07-13,
3c3c274f-d3e5-4517-a075-8868aaa8af42,sound,,2019-12-20,2020-07-13,
3c3c274f-d3e5-4517-a075-8868aaa8af42,adopted,,2020-01-15,2020-07-13,
62a44b10-cdc6-4f7f-ba96-c60decf184ff,submitted,,2014-12-18,2020-07-13,
62a44b10-cdc6-4f7f-ba96-c60decf184ff,published,,2014-07-04,2020-07-13,
62a44b10-cdc6-4f7f-ba96-c60decf184ff,sound,,2015-11-23,2020-07-13,
62a44b10-cdc6-4f7f-ba96-c60decf184ff,adopted,,2016-01-20,2020-07-13,
23147f33-a203-4148-b639-53bfb88017be,submitted,,2012-10-31,2020-07-13,
23147f33-a203-4148-b639-53bfb88017be,published,,2012-04-25,2020-07-13,
23147f33-a203-4148-b639-53bfb88017be,sound,,2013-09-27,2020-07-13,
23147f33-a203-4148-b639-53bfb88017be,adopted,,2013-12-05,2020-07-13,
8b48f728-8835-4b44-8f1a-d41101baeda1,submitted,,2013-03-15,2020-07-13,
8b48f728-8835-4b44-8f1a-d41101baeda1,published,,2012-04-02,2020-07-13,
8b48f728-8835-4b44-8f1a-d41101baeda1,sound,,2014-03-21,2020-07-13,
8b48f728-8835-4b44-8f1a-d41101baeda1,adopted,,2014-04-28,2020-07-13,
602147fb-c091-4eee-b8a4-c19f09ca1509,submitted,,2014-03-12,2020-07-13,
602147fb-c091-4eee-b8a4-c19f09ca1509,published,,2013-09-30,2020-07-13,
602147fb-c091-4eee-b8a4-c19f09ca1509,sound,,2016-12-16,2020-07-13,
602147fb-c091-4eee-b8a4-c19f09ca1509,adopted,,2017-01-25,2020-07-13,
48647056-2c80-4d6f-a403-ace690639a61,submitted,,2011-08-16,2020-07-13,
48647056-2c80-4d6f-a403-ace690639a61,published,,2010-09-30,2020-07-13,
48647056-2c80-4d6f-a403-ace690639a61,sound,,2012-06-22,2020-07-13,
48647056-2c80-4d6f-a403-ace690639a61,adopted,,2012-09-11,2020-07-13,
a7e15312-9fd9-4ca0-9fff-56348e710f6b,submitted,,2011-02-07,2020-07-13,
a7e15312-9fd9-4ca0-9fff-56348e710f6b,published,,2010-09-02,2020-07-13,
a7e15312-9fd9-4ca0-9fff-56348e710f6b,sound,,2011-08-01,2020-07-13,
a7e15312-9fd9-4ca0-9fff-56348e710f6b,adopted,,2011-09-26,2020-07-13,
a1cfa4ac-822b-4727-a5fd-0c55909a15bb,submitted,,2016-06-24,2020-07-13,
a1cfa4ac-822b-4727-a5fd-0c55909a15bb,published,,2016-02-08,2020-07-13,
a1cfa4ac-822b-4727-a5fd-0c55909a15bb,sound,,2017-05-10,2020-07-13,
a1cfa4ac-822b-4727-a5fd-0c55909a15bb,adopted,,2017-07-03,2020-07-13,
09a82662-75f1-485d-af89-5f035cdd6126,submitted,,2018-03-02,2020-07-13,
09a82662-75f1-485d-af89-5f035cdd6126,published,,2017-11-02,2020-07-13,
ff7a8a59-3da4-4d24-a2ec-0a1b75d108bb,submitted,,2015-02-05,2020-07-13,
ff7a8a59-3da4-4d24-a2ec-0a1b75d108bb,published,,2014-03-17,2020-07-13,
ff7a8a59-3da4-4d24-a2ec-0a1b75d108bb,sound,,2016-09-23,2020-07-13,
ff7a8a59-3da4-4d24-a2ec-0a1b75d108bb,adopted,,2016-11-22,2020-07-13,
3fd7dd48-a240-42ed-b9ed-411731039393,submitted,,2014-11-21,2020-07-13,
3fd7dd48-a240-42ed-b9ed-411731039393,published,,2014-06-05,2020-07-13,
3fd7dd48-a240-42ed-b9ed-411731039393,sound,,2017-06-15,2020-07-13,
3fd7dd48-a240-42ed-b9ed-411731039393,adopted,,2017-07-13,2020-07-13,
74564582-cddd-45f4-b09c-35e08902cf91,submitted,,2019-01-11,2020-07-13,
74564582-cddd-45f4-b09c-35e08902cf91,published,,2018-08-10,2020-07-13,
5538be07-3fac-4f4c-89d4-376868e6fdc1,submitted,,2013-10-23,2020-07-13,
5538be07-3fac-4f4c-89d4-376868e6fdc1,published,,2013-05-03,2020-07-13,
5538be07-3fac-4f4c-89d4-376868e6fdc1,sound,,2014-07-01,2020-07-13,
5538be07-3fac-4f4c-89d4-376868e6fdc1,adopted,,2014-07-16,2020-07-13,
91ac26b7-d253-4569-9a70-92763649a92a,submitted,,2017-02-02,2020-07-13,
91ac26b7-d253-4569-9a70-92763649a92a,published,,2016-09-05,2020-07-13,
91ac26b7-d253-4569-9a70-92763649a92a,sound,,2018-01-16,2020-07-13,
91ac26b7-d253-4569-9a70-92763649a92a,adopted,,2018-02-27,2020-07-13,
a72eca2f-24ac-4362-b612-43ebcf7479de,submitted,,2013-02-04,2020-07-13,
a72eca2f-24ac-4362-b612-43ebcf7479de,published,,2012-08-10,2020-07-13,
a72eca2f-24ac-4362-b612-43ebcf7479de,sound,,2013-11-13,2020-07-13,
a72eca2f-24ac-4362-b612-43ebcf7479de,adopted,,2014-01-10,2020-07-13,
8f4eecb8-0d98-4af4-b5b5-0ffc9451a190,submitted,,2011-01-13,2020-07-13,
8f4eecb8-0d98-4af4-b5b5-0ffc9451a190,published,,2010-10-14,2020-07-13,
8f4eecb8-0d98-4af4-b5b5-0ffc9451a190,sound,,2011-10-06,2020-07-13,
8f4eecb8-0d98-4af4-b5b5-0ffc9451a190,adopted,,2011-11-15,2020-07-13,
e44f3ac6-d9bd-4f26-a318-3f187eea80d3,submitted,,2019-09-26,2020-07-13,
e44f3ac6-d9bd-4f26-a318-3f187eea80d3,published,,2019-06-07,2020-07-13,
d00b83a7-aabe-4bbd-866c-ef2cc11d59a3,submitted,,2009-06-12,2020-07-13,
d00b83a7-aabe-4bbd-866c-ef2cc11d59a3,published,,2008-11-03,2020-07-13,
d00b83a7-aabe-4bbd-866c-ef2cc11d59a3,sound,,2010-02-22,2020-07-13,
d00b83a7-aabe-4bbd-866c-ef2cc11d59a3,adopted,,2010-07-21,2020-07-13,
346b2235-bd4c-435b-88c7-0fbc40f011a2,submitted,,2007-11-19,2020-07-13,
346b2235-bd4c-435b-88c7-0fbc40f011a2,published,,2007-11-19,2020-07-13,
346b2235-bd4c-435b-88c7-0fbc40f011a2,sound,,2008-10-09,2020-07-13,
346b2235-bd4c-435b-88c7-0fbc40f011a2,adopted,,2008-12-11,2020-07-13,
35b33d09-b9ef-480a-bb4a-62eb6e43bf48,submitted,,2013-10-31,2020-07-13,
35b33d09-b9ef-480a-bb4a-62eb6e43bf48,published,,2013-08-05,2020-07-13,
35b33d09-b9ef-480a-bb4a-62eb6e43bf48,sound,,2014-05-08,2020-07-13,
35b33d09-b9ef-480a-bb4a-62eb6e43bf48,adopted,,2014-07-16,2020-07-13,
63778fb0-7e0d-4c36-b9a1-bac42546f982,submitted,,2017-10-09,2020-07-13,
63778fb0-7e0d-4c36-b9a1-bac42546f982,published,,2017-06-16,2020-07-13,
a8dbb275-ef77-4be6-a77a-6cbe28dc4e70,submitted,,2009-09-30,2020-07-13,
a8dbb275-ef77-4be6-a77a-6cbe28dc4e70,published,,2009-06-02,2020-07-13,
a8dbb275-ef77-4be6-a77a-6cbe28dc4e70,sound,,2010-04-16,2020-07-13,
a8dbb275-ef77-4be6-a77a-6cbe28dc4e70,adopted,,2010-07-12,2020-07-13,
3ab660ca-e4a2-4922-85da-155f8041c2c1,submitted,,2020-03-17,2020-07-13,
3ab660ca-e4a2-4922-85da-155f8041c2c1,published,,2019-10-24,2020-07-13,
796b09f8-af75-4dea-ba4b-0ace06381dd0,submitted,,2014-05-19,2020-07-13,
796b09f8-af75-4dea-ba4b-0ace06381dd0,published,,2014-03-14,2020-07-13,
796b09f8-af75-4dea-ba4b-0ace06381dd0,sound,,2017-06-20,2020-07-13,
796b09f8-af75-4dea-ba4b-0ace06381dd0,adopted,,2017-07-27,2020-07-13,
194c957b-2fd6-499d-b6d6-4f8344b4db32,submitted,,2012-12-31,2020-07-13,
